"№ з/п","Повне найменування","Код суб'єкта управління","Назва суб'єкта управління","Організаційна форма cуб'єкта господарювання (зокрема державні підприємства - ДП, господарські товариства з КПД >50% - ГТ)"
"538","ДЕРЖАВНЕ НАУКОВО-ТЕХНІЧНЕ ПІДПРИЄМСТВО ""ІНФОРМТЕХ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"539","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""КОМПАС""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"540","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ПРОЕКТНО- КОНСТРУКТОРСЬКЕ ТЕХНОЛОГІЧНЕ БЮРО""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"541","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ДОСЛІДНИЙ ЦЕНТР ""КІА ПРОМАВТОМАТИКА""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"542","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОКУМЕНТ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"543","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""КАРТОГРАФІЯ""","28604","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ","ДП"
"544","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ ДЕРЖАВНИЙ НАУКОВО-ВИРОБНИЧИЙ ІНСТИТУТ ЗЙОМОК МІСТ ТА ГЕОІНФОРМАТИКИ ІМЕНІ А.В. ШАХА"" (ДП ""УКРГЕОІНФОРМ"")","28604","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ","ДП"
"545","ХЕРСОНСЬКЕ ДЕРЖАВНЕ ПІДПРИЄМСТВО ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ","28604","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ","ДП"
"546","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКЕ ДЕРЖАВНЕ АЕРОГЕОДЕЗИЧНЕ ПІДПРИЄМСТВО""","28604","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ","ДП"
"547","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ГЕОСИСТЕМА""","28604","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ","ДП"
"548","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЦЕНТР ДЕРЖАВНОГО ЗЕМЕЛЬНОГО КАДАСТРУ""","28604","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ","ДП"
"549","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ГЕОДЕЗІЇ І КАРТОГРАФІЇ"" (НДІГК)","28604","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ","ДП"
"550","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНЕ УПРАВЛІННЯ КОМПЛЕКСНОГО ЗАБЕЗПЕЧЕННЯ""","28754","ДЕРЖАВНА АУДИТОРСЬКА СЛУЖБА УКРАЇНИ","ДП"
"551","УКРАЇНСЬКА ДЕРЖАВНА КОРПОРАЦІЯ ПО ВИКОНАННЮ МОНТАЖНИХ І СПЕЦІАЛЬНИХ БУДІВЕЛЬНИХ РОБІТ ""УКРМОНТАЖСПЕЦБУД""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"552","УКРАЇНСЬКА ДЕРЖАВНА БУДІВЕЛЬНА КОРПОРАЦІЯ ""УКРБУД""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"553","УКРАЇНСЬКА КООПЕРАТИВНО-ДЕРЖАВНА КОРПОРАЦІЯ ПО АГРОПРОМИСЛОВОМУ БУДІВНИЦТВУ ""УКРАГРОПРОМБУД""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"554","УКРАЇНСЬКА ДЕРЖАВНА КОРПОРАЦІЯ ПО БУДІВНИЦТВУ МЕТРОПОЛІТЕНІВ І ТУНЕЛІВ ""УКРМЕТРОТУНЕЛЬБУД""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"555","УКРАЇНСЬКА ДЕРЖАВНА КОРПОРАЦІЯ ПО ТРАНСПОРТНОМУ БУДІВНИЦТВУ ""УКРТРАНСБУД""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"556","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ ПРОЕКТНИЙ ТА КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНИЙ ІНСТИТУТ ""АТОМЕНЕРГОБУДПРОЕКТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"557","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНИЙ ПРОЕКТНО-ВИШУКУВАЛЬНИЙ ТА НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ""УКРЕНЕРГОМЕРЕЖПРОЕКТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"558","ДЕРЖАВНЕ ПІДПРИЄМСТВО ПЕРЕСУВНА МЕХАНІЗОВАНА КОЛОНА № 256","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"559","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ВИСОКИХ НАПРУГ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"560","ДЕРЖАВНЕ ПІДПРИЄМСТВО З КОМПЛЕКТНОЇ ПОСТАВКИ УСТАТКУВАННЯ ""УКРЕНЕРГОКОМПЛЕКТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"561","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПОЛТАВСЬКЕ УПРАВЛІННЯ ГЕОФІЗИЧНИХ РОБІТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"562","ДЕРЖАВНЕ ПІДПРИЄМСТВО УКРАЇНСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ НАФТОПЕРЕРОБНОЇ ПРОМИСЛОВОСТІ ""МАСМА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"563","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛЬВІВСЬКИЙ ДЕРЖАВНИЙ ІНСТИТУТ З ПРОЕКТУВАННЯ НАФТОПЕРЕРОБНИХ І НАФТОХІМІЧНИХ ПІДПРИЄМСТВ ""ЛЬВІВДІПРОНАФТОХІМ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"564","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ""ЕЛАСТИК""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"565","ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ВЕЛИКОГАБАРИТНИХ ШИН","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"566","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІНСТИТУТ КОМПЛЕКСНОЇ МЕХАНІЗАЦІЇ ОЧИСНИХ ТА ПІДГОТОВЧИХ РОБІТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"567","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"568","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПРОЕКТУВАННЯ БУДІВНИЦТВА ПІДПРИЄМСТВ ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ ""ПІВДЕНДІПРОШАХТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"569","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНА ІНВЕСТИЦІЙНА ЕКСПЕРТИЗА ВУГІЛЬНОЇ ГАЛУЗІ ""УКРВУГЛЕІНВЕСТЕКСПЕРТИЗА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"570","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РЕГІОНАЛЬНЕ ВИРОБНИЧЕ ОБ'ЄДНАННЯ ""УКРВУГЛЕЕКОЛОГІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"571","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОНБАСЬКИЙ НАУКОВО-ДОСЛІДНИЙ І ПРОЕКТНО-КОНСТРУКТОРСЬКИЙ ВУГІЛЬНИЙ ІНСТИТУТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"572","ДЕРЖАВНЕ ПІДПРИЄМСТВО ДЕРЖАВНИЙ МАКІЇВСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ З БЕЗПЕКИ РОБІТ У ГІРНИЧІЙ ПРОМИСЛОВОСТІ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"573","ДЕРЖАВНЕ ПІДПРИЄМСТВО ШАХТОУПРАВЛІННЯ ІМ ГАЗЕТИ ""ПРАВДА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"574","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА ""ПЕТРОВСЬКА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"575","ДОНЕЦЬКЕ ВИРОБНИЧЕ ОБ'ЄДНАННЯ ПО ВИДОБУТКУ ВУГІЛЛЯ ""ДОНЕЦЬКВУГІЛЛЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"576","ДЕРЖАВНЕ ПІДПРИЄМСТВО ШАХТА ""ГІРНИК"" ВИРОБНИЧОГО ОБ'ЄДНАННЯ ""СЕЛИДІВВУГІЛЛЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"577","""ШАХТА ЧЕРВОНИЙ ПРОФІНТЕРН"" ВИРОБНИЧОГО ОБ'ЄДНАННЯ ""ОРДЖОНІКІДЗЕВУГІЛЛЯ"" МІНІСТЕРСТВА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"578","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА №3 ШАХТОУПРАВЛІННЯ ""ОЛЕКСАНДРІВСЬКЕ"" ВИРОБНИЧОГО ОБ'ЄДНАННЯ ПО ВИДОБУТКУ ВУГІЛЛЯ ""ОРДЖОНІКІДЗЕВУГІЛЛЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"579","ШАХТА ""ЮНИЙ КОМУНАР"" ВИРОБНИЧОГО ОБ'ЄДНАННЯ ПО ВИДОБУТКУ ВУГІЛЛЯ ""ОРДЖОНІКІДЗЕВУГІЛЛЯ"" МІНІСТЕРСТВА ПАЛИВА ТА ЕНЕРГЕТИКИ УКРАЇНИ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"580","ДЕРЖАВНЕ ПІДПРИЄМСТВО ШАХТА ""ДОНЕЦЬКА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"581","ДЕРЖАВНЕ ПІДПРИЄМСТВО ШАХТА ""СНІЖНЯНСЬКА"" ВИРОБНИЧОГО ОБ'ЄДНАННЯ ""СНІЖНЕАНТРАЦИТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"582","ДЕРЖАВНЕ ПІДПРИЄМСТВО ШАХТА ""РЕМОВСКАЯ"" ВО ""ТОРЕЗАНТРАЦИТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"583","ДЕРЖАВНЕ ПІДПРИЄМСТВО ШАХТА ВИРОБНИЧОГО ОБ'ЄДНАННЯ ""СНІЖНЕАНТРАЦИТ""-""СХІД""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"584","ДЕРЖАВНЕ ПІДПРИЄМСТВО ШАХТА ""МІУСЬКА"" ВИРОБНИЧОГО ОБ'ЄДНАННЯ ""СНІЖНЕАНТРАЦИТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"585","ДЕРЖАВНЕ ПІДПРИЄМСТВО ЦЕНТРАЛЬНА ЗБАГАЧУВАЛЬНА ФАБРИКА ""СНІЖНЯНСЬКА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"586","ДЕРЖАВНЕ ПІДПРИЄМСТВО ШАХТА ""ЛІСОВА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"587","ДЕРЖАВНЕ ПІДПРИЄМСТВО ШАХТОУПРАВЛІННЯ ""МОСКОВСЬКЕ"" ДЕРЖАВНОЇ ХОЛДІНГОВОЇ КОМПАНІЇ ""ШАХТАРСЬКАНТРАЦИТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"588","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА ""НІКАНОР"" ПО ""ЛУГАНСЬКВУГІЛЛЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"589","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА ""УКРАЇНА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"590","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА""СЛОВ'ЯНОСЕРБСЬКА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"591","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА ""БЕЖАНІВСЬКА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"592","ДЕРЖАВНЕ ПІДПРИЄМСТВО ШАХТА ""ЛУГАНСЬКА"" ВИРОБНИЧОГО ОБ'ЄДНАННЯ ПО ВИДОБУТКУ ВУГІЛЛЯ ""СТАХАНОВУГОЛЬ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"593","ДЕРЖАВНЕ ПІДПРИЄМСТВО ШАХТА ІМЕНІ ВОЛОДАРСЬКОГО ВИРОБНИЧОГО ОБ'ЄДНАННЯ ""СВЕРДЛОВАНТРАЦИТ"" МІНІСТЕРСТВА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"594","ДЕРЖАВНЕ ПІДПРИЄМСТВО ШАХТА ""ЛЕНИНСКАЯ"" ВО ""СВЕРДЛОВАНТРАЦИТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"595","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НОВОВОЛИНСЬКИЙ РЕМОНТНО-МЕХАНІЧНИЙ ЗАВОД""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"596","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СНІЖНЯНСЬКІ ЦЕНТРАЛЬНІ ЕЛЕКТРОМЕХАНІЧНІ МАЙСТЕРНІ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"597","ДЕРЖАВНЕ ПІДПРИЄМСТВО РЕМОНТНО-БУДІВЕЛЬНЕ УПРАВЛІННЯ ХАНЖЕНКОВСЬКЕ В/О ""МАКІЇВВУГІЛЛЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"598","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РЕМОНТНО-ЕКСПЛУАТАЦІЙНЕ ПІДПРИЄМСТВО ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПОДАРСТВА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"599","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛУГАНСЬКЕ ШАХТОБУДІВЕЛЬНЕ УПРАВЛІННЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"600","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РЕМОНТНО-БУДІВЕЛЬНЕ УПРАВЛІННЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"601","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛУГАНСЬКВУГЛЕРЕМОНТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"602","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КРАСНОЛУЦЬКИЙ ВІДДІЛ РОБІТНИЧОГО ПОСТАЧАННЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"603","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ФІРМА МАТЕРІАЛЬНО-ТЕХНІЧНОГО ЗАБЕЗПЕЧЕННЯ ТА ЗБУТУ ПРОДУКЦІЇ"" ВИРОБНИЧОГО ОБ'ЄДНАННЯ ""ДОНЕЦЬКВУГІЛЛЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"604","ДЕРЖАВНЕ ПІДПРИЄМСТВО ПРОЛЕТАРСЬКЕ УПРАВЛІННЯ ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПОДАРСТВА","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"605","ЧЕРВОНОГВАРДІЙСЬКЕ УПРАВЛІННЯ ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПОДАРСТВА","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"606","УПРАВЛІННЯ ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПОДАРСТВА ВИРОБНИЧОГО ОБ*ЄДНАННЯ ПО ВИДОБУТКУ ВУГІЛЛЯ КРАСНОАРМІЙСЬКВУГІЛЛЯ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"607","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА ""ВЕДМЕЖОЯРСЬКА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"608","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СНІЖНЯНСЬКЕ УПРАВЛІННЯ ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПОДАРСТВА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"609","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БРЯНКІВСЬКЕ УПРАВЛІННЯ ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПОДАРСТВА ""ВИРОБНИЧОГО ОБ'ЄДНАННЯ ""СТАХАНОВВУГІЛЛЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"610","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ НАУКОВО-ДОСЛІДНИЙ І ПРОЕКТНО-КОНСТРУКТОРСЬКИЙ ІНСТИТУТ ПО ЗБАГАЧЕННЮ ТА БРИКЕТУВАННЮ ВУГІЛЛЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"611","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЦЕНТРАЛЬНЕ БЮРО НАУКОВО-ТЕХНІЧНОЇ ІНФОРМАЦІЇ (ЦБНТІ) ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"612","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СПЕЦІАЛІЗОВАНИЙ ЦЕНТР ""ВУГЛЕІЗОТОП""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"613","ВИРОБНИЧЕ ОБ'ЄДНАННЯ ШАХТНОЇ ГЕОЛОГІЇ ТА ТЕХНІЧНОГО БУРІННЯ ""УКРВУГЛЕГЕОЛОГІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"614","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЗАВОД ПОРОШКОВОЇ МЕТАЛУРГІЇ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"615","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛУТУГИНСЬКИЙ НАУКОВО-ВИРОБНИЧИЙ ВАЛКОВИЙ КОМБІНАТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"616","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ ІНСТИТУТ ПО ПРОЕКТУВАННЮ МЕТАЛУРГІЙНИХ ЗАВОДІВ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"617","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНИЙ ІНСТИТУТ ПО ПРОЕКТУВАННЮ ПІДПРИЄМСТВ КОКСОХІМІЧНОЇ ПРОМИСЛОВОСТІ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"618","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНА КОКСОХІМІЧНА СТАНЦІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"619","ДЕРЖАВНА УСТАНОВА ""ДЕРЖАВНИЙ ІНСТИТУТ ПРАЦІ ТА СОЦІАЛЬНО-ЕКОНОМІЧНИХ ДОСЛІДЖЕНЬ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"620","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ СПЕЦІАЛЬНИХ СТАЛЕЙ, СПЛАВІВ ТА ФЕРОСПЛАВІВ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"621","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ ВУГЛЕХІМІЧНИЙ ІНСТИТУТ (УХІН)""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"622","ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ КОНСТРУКТОРСЬКЕ БЮРО АВТОМАТИЗАЦІЇ КОКСОХІМІЧНОГО ВИРОБНИЦТВА","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"623","УКРАЇНСЬКИЙ ВИРОБНИЧО-ТОРГІВЕЛЬНИЙ КОНЦЕРН РОБІТНИЧОГО ПОСТАЧАННЯ ПІДПРИЄМСТВ МЕТАЛУРГІЇ ""УКРМЕТАЛЛУРГТОРГСНАБ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"624","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПРОМСПЕЦЗВ'ЯЗОК""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"625","ЧАСІВОЯРСЬКЕ СПЕЦІАЛІЗОВАНЕ УПРАВЛІННЯ ПО РЕМОНТУ УСТАТКУВАННЯ БУДІВЕЛЬ ТА СПОРУД","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"626","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ РЕСПУБЛІКАНСЬКИЙ ДЕРЖАВНИЙ ТРЕСТ КОМПЛЕКТУВАННЯ ПІДПРИЄМСТВ МЕТАЛУРГІЇ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"627","ДЕРЖАВНИЙ ЗАКЛАД ""ДНІПРОПЕТРОВСЬКИЙ ІНСТИТУТ ПРОФЕСІЙНОГО РОЗВИТКУ І ОСВІТИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"628","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРМЕТАЛУРГІЗОТОП""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"629","ДОНЕЦЬКИЙ ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ЧОРНОЇ МЕТАЛУРГІЇ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"630","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОНЕЦЬКИЙ ІНСТИТУТ НАУКОВО-ДОСЛІДНИХ, ПРОЕКТНИХ РОБІТ ТА ІНЖЕНЕРНИХ ПОСЛУГ У ВОГНЕТРИВКІЙ ПРОМИСЛОВОСТІ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"631","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРЧОРМЕТГЕОЛОГІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"632","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЧАСІВ-ЯРСЬКА ДЕРЖАВНА ГЕОЛОГОРОЗВІДУВАЛЬНА ПАРТІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
